Image,Description,Ground Truth
cju6wi3akvn8r0801px8eligc.png,"two large white round polyp, located in top left, center of the image
",cju6wi3akvn8r0801px8eligc.png
cju5ktjwofed70817eg58ef7u.png,"one medium white round polyp, located in right of the image
",cju5ktjwofed70817eg58ef7u.png
cju34ds2531520988qjpqt6e3.png,"one medium yellow round polyp, located in center of the image
",cju34ds2531520988qjpqt6e3.png
cju5vbo6jldrt0871jf6f1700.png,"one small yellow oval polyp, located in right of the image
",cju5vbo6jldrt0871jf6f1700.png
cju2qfie4rvz508357kad9z5o.png,"one medium white it is round polyp, located in center of the image
",cju2qfie4rvz508357kad9z5o.png
cju5buy2bal250818ipl6fqwv.png,"one medium white circle polyp, located in center of the image
",cju5buy2bal250818ipl6fqwv.png
cju85c2d4ln1b0755zz1z3onx.png,"one small brown circle polyp, located in right of the image
",cju85c2d4ln1b0755zz1z3onx.png
cju5vxuc5loxw0818u8xgf45p.png,"one medium white oval polyp, located in right of the image
",cju5vxuc5loxw0818u8xgf45p.png
cju15ptjtppz40988odsm9azx.png,"one small white triangular polyp, located in right of the image
",cju15ptjtppz40988odsm9azx.png
cju7dtb1e2j0t0818deq51ib3.png,"two medium yellow large polyp, located in top left, bottom right of the image
",cju7dtb1e2j0t0818deq51ib3.png
cjyzu3reghjya0794w7pwoi50.png,"one medium white triangular polyp, located in right of the image
",cjyzu3reghjya0794w7pwoi50.png
cju774fmayxif0818u2g79usw.png,"one small white round polyp, located in bottom right of the image
",cju774fmayxif0818u2g79usw.png
cju353d1eda8c07992afde611.png,"two medium pink round polyp, located in top left, top right of the image
",cju353d1eda8c07992afde611.png
cju1egx9pvz2n0988eoy8jp23.png,"one small yellow round polyp, located in bottom of the image
",cju1egx9pvz2n0988eoy8jp23.png
cju2wtwj87kys0855kx6mddzw.png,"one large yellow round polyp, located in center of the image
",cju2wtwj87kys0855kx6mddzw.png
cju2y26c588bo07993ksd8eoz.png,"one small yellow round polyp, located in bottom right of the image
",cju2y26c588bo07993ksd8eoz.png
cju83vvmik9wa08710yeh7cuk.png,"one small pink oval polyp, located in center of the image
",cju83vvmik9wa08710yeh7cuk.png
cju2rnkt22xep0801as160g9t.png,"two small white round polyp, located in center, left of the image
",cju2rnkt22xep0801as160g9t.png
cju6wn57mvooj0850rp78hhy7.png,"one large yellow round polyp, located in right of the image
",cju6wn57mvooj0850rp78hhy7.png
cju2hjrqcvi2j0801bx1i6gxg.png,"two small white round polyp, located in top, bottom of the image
",cju2hjrqcvi2j0801bx1i6gxg.png
cju5yjq1pmlgc0801z0t24bly.png,"one medium yellow round polyp, located in bottom of the image
",cju5yjq1pmlgc0801z0t24bly.png
cju7bf1lp1shi081835vs84lc.png,"one large white round polyp, located in center of the image
",cju7bf1lp1shi081835vs84lc.png
cju2nnqrqzp580855z8mhzgd6.png,"two large white round polyp, located in top left, center of the image
",cju2nnqrqzp580855z8mhzgd6.png
cju2wzu8wxtgu09880ku9x1pg.png,"two medium white round polyp, located in top left, bottom of the image
",cju2wzu8wxtgu09880ku9x1pg.png
cju1cqc7n4gpy0855jt246k68.png,"one small white round polyp, located in bottom of the image
",cju1cqc7n4gpy0855jt246k68.png
cju2ntxtdzlvu0799xl3j9pan.png,"one small white round polyp, located in bottom right of the image
",cju2ntxtdzlvu0799xl3j9pan.png
cju18ibp219ub08783i6o98g7.png,"one small white circle polyp, located in bottom right of the image
",cju18ibp219ub08783i6o98g7.png
cju13hp5rnbjx0835bf0jowgx.png,"one medium white round polyp, located in left of the image
",cju13hp5rnbjx0835bf0jowgx.png
cju2zdhsczmn50988z64qwg2q.png,"two small, medium white round polyp, located in top, right of the image
",cju2zdhsczmn50988z64qwg2q.png
cju8brv16rx7f0818uf5n89pv.png,"one small white circle polyp, located in right of the image
",cju8brv16rx7f0818uf5n89pv.png
cjyzul1qggwwj07216mhiv5sy.png,"one small pink circle polyp, located in center of the image
",cjyzul1qggwwj07216mhiv5sy.png
cju87zv8lni0o0850hbbecbq6.png,"one small yellow circle polyp, located in center of the image
",cju87zv8lni0o0850hbbecbq6.png
cju2tvrvm53ws0801a0jfjdxg.png,"one medium white round polyp, located in top of the image
",cju2tvrvm53ws0801a0jfjdxg.png
cju357rxxdaz30878y2esjpjt.png,"one small brown circle polyp, located in top of the image
",cju357rxxdaz30878y2esjpjt.png
cju6xifswvwbo0987nibtdr50.png,"two large white round polyp, located in top left, right of the image
",cju6xifswvwbo0987nibtdr50.png
cju88msmoo3470817m441j4sg.png,"one medium yellow round polyp, located in right of the image
",cju88msmoo3470817m441j4sg.png
cju2phaksnahz0993yxogjcpv.png,"one small brown oval polyp, located in left of the image
",cju2phaksnahz0993yxogjcpv.png
cju42g865lorv07552ytz6xxa.png,"one medium white round polyp, located in top of the image
",cju42g865lorv07552ytz6xxa.png
cju17otoe119u0799nqcbl8n1.png,"one large yellow round polyp, located in center of the image
",cju17otoe119u0799nqcbl8n1.png
cju34zivp3fq80988opxbaqyn.png,"one small orange circle polyp, located in center of the image
",cju34zivp3fq80988opxbaqyn.png
cju2i6acqvo6l0799u20fift8.png,"one medium white triangular polyp, located in center of the image
",cju2i6acqvo6l0799u20fift8.png
cju5i39mreass0817au8p22zy.png,"one medium pink round polyp, located in center of the image
",cju5i39mreass0817au8p22zy.png
cju7emdni2py40871ivhxjtut.png,"one large brown large polyp, located in right of the image
",cju7emdni2py40871ivhxjtut.png
cju7ehljc2or70871261br8ai.png,"two large orange round polyp, located in top left, center of the image
",cju7ehljc2or70871261br8ai.png
cju5eq8c8ck690850vix98hv3.png,"one large orange round polyp, located in right of the image
",cju5eq8c8ck690850vix98hv3.png
cju8bssulrrcy0987h1vq5060.png,"two medium white circle polyp, located in top left, bottom of the image
",cju8bssulrrcy0987h1vq5060.png
cju31w6goazci0799n014ly1q.png,"one medium white round polyp, located in left of the image
",cju31w6goazci0799n014ly1q.png
cju7cl8zm1xcu0817ado0jpas.png,"one large white round polyp, located in center of the image
",cju7cl8zm1xcu0817ado0jpas.png
cju6v4szov55u0871qmqz3v8n.png,"two large white round polyp, located in top left, left of the image
",cju6v4szov55u0871qmqz3v8n.png
cju40r6jrksyk0871wg98zgho.png,"one medium yellow round polyp, located in right of the image
",cju40r6jrksyk0871wg98zgho.png
cju32l161bi1v07990vm376in.png,"two small pink circle polyp, located in top left, right of the image
",cju32l161bi1v07990vm376in.png
cju1c6yfz42md08550zgoz3pw.png,"two medium yellow round polyp, located in top left, top of the image
",cju1c6yfz42md08550zgoz3pw.png
cju2p91qir00k08350ddfif0w.png,"one small white round polyp, located in center of the image
",cju2p91qir00k08350ddfif0w.png
cju35k2fr3vc50988c85qkrwg.png,"two small white circle polyp, located in right, bottom of the image
",cju35k2fr3vc50988c85qkrwg.png
cju3u4lxmg59o0755rz42b9en.png,"one medium orange round polyp, located in bottom right of the image
",cju3u4lxmg59o0755rz42b9en.png
cju171py4qiha0835u8sl59ds.png,"two large white round polyp, located in top left, right of the image
",cju171py4qiha0835u8sl59ds.png
cju1fuoa4wmc50835qfd11sp9.png,"two small pink oval polyp, located in top left, right of the image
",cju1fuoa4wmc50835qfd11sp9.png
cju3xvoo2iqlc0817eku2r3wl.png,"two small white circle polyp, located in top left, bottom right of the image
",cju3xvoo2iqlc0817eku2r3wl.png
cju6z7e4bwgdd0987ogkzq9kt.png,"one medium white round polyp, located in bottom right of the image
",cju6z7e4bwgdd0987ogkzq9kt.png
cju7azuu31mia0801pf9ib5ed.png,"one small yellow round polyp, located in bottom of the image
",cju7azuu31mia0801pf9ib5ed.png
cju5eyfe9cpk90987laa7tsl3.png,"one medium pink oval polyp, located in center of the image
",cju5eyfe9cpk90987laa7tsl3.png
cju2ouil2mssu0993hvxsed6d.png,"one small white circle polyp, located in center of the image
",cju2ouil2mssu0993hvxsed6d.png
cju5vzjoslpj708186z2fusmz.png,"one small yellow circle polyp, located in right of the image
",cju5vzjoslpj708186z2fusmz.png
cju5wmvsdlx1j0871npgj8j4b.png,"one small yellow round polyp, located in center of the image
",cju5wmvsdlx1j0871npgj8j4b.png
cju32zhbnc1oy0801iyv1ix6p.png,"one medium white round polyp, located in right of the image
",cju32zhbnc1oy0801iyv1ix6p.png
cju5fu081d8gc0818l3yylujk.png,"one small yellow circle polyp, located in left of the image
",cju5fu081d8gc0818l3yylujk.png
cju7cue9b232j0801qdzk1ykj.png,"one medium white circle polyp, located in center of the image
",cju7cue9b232j0801qdzk1ykj.png
cju5wtdu4m0im0871mix0yvc0.png,"one medium pink round polyp, located in right of the image
",cju5wtdu4m0im0871mix0yvc0.png
cju8bk8oirjhw0817hgkua2w8.png,"one medium white round polyp, located in center of the image
",cju8bk8oirjhw0817hgkua2w8.png
cju83u9ftk3ni0987qnhlcinv.png,"two medium orange round polyp, located in top left, center of the image
",cju83u9ftk3ni0987qnhlcinv.png
cju84gpefknwm098714oq8q61.png,"one medium orange round polyp, located in right of the image
",cju84gpefknwm098714oq8q61.png
cju2rga4psq9n09881z519xx0.png,"one small tan oval polyp, located in right of the image
",cju2rga4psq9n09881z519xx0.png
cju7dizi82h2i0755doucgnt3.png,"one small white round polyp, located in center of the image
",cju7dizi82h2i0755doucgnt3.png
cju17x0j4nfc10993y31pvlgs.png,"two large white round polyp, located in top left, left of the image
",cju17x0j4nfc10993y31pvlgs.png
cju2hw5gjlr5h0988so2qqres.png,"one medium white round polyp, located in center of the image
",cju2hw5gjlr5h0988so2qqres.png
cju8567gdlcbq0801dwwyo2jt.png,"two medium white round polyp, located in top left, bottom of the image
",cju8567gdlcbq0801dwwyo2jt.png
cju7agj961l2r0818z29iq8yn.png,"one small tan oval polyp, located in right of the image
",cju7agj961l2r0818z29iq8yn.png
cju2hx006vidl0799igm81vmh.png,"one small brown round polyp, located in right of the image
",cju2hx006vidl0799igm81vmh.png
ck2bxlujamu330725szlc2jdu.png,"one small white round polyp, located in bottom of the image
",ck2bxlujamu330725szlc2jdu.png
cju41s6nbleqy0755e2mslg0b.png,"one medium brown round polyp, located in center of the image
",cju41s6nbleqy0755e2mslg0b.png
cju2rxm8rpbaf0993o3qr2oph.png,"one small white round polyp, located in right of the image
",cju2rxm8rpbaf0993o3qr2oph.png
cju5k7r0yf98c09878csbxb4d.png,"one small brown circle polyp, located in top of the image
",cju5k7r0yf98c09878csbxb4d.png
cju88q6h6obpd0871ckmiabbo.png,"three small white round polyp, located in top, right, center of the image
",cju88q6h6obpd0871ckmiabbo.png
cju7do8c72dbo0801vxfzxdc4.png,"one small yellow round polyp, located in right of the image
",cju7do8c72dbo0801vxfzxdc4.png
ck2bxw18mmz1k0725litqq2mc.png,"one medium white triangular polyp, located in center of the image
",ck2bxw18mmz1k0725litqq2mc.png
cju5o4pk9h0720755lgp9jq8m.png,"two medium pink round polyp, located in top left, right of the image
",cju5o4pk9h0720755lgp9jq8m.png
cju1ddr6p4k5z08780uuuzit2.png,"one small brown circle polyp, located in right of the image
",cju1ddr6p4k5z08780uuuzit2.png
cju2syxa93yw40799x2iuwabz.png,"one small brown circle polyp, located in center of the image
",cju2syxa93yw40799x2iuwabz.png
cju5chrxxawka0871qcj171yz.png,"one medium white round polyp, located in center of the image
",cju5chrxxawka0871qcj171yz.png
cju2wve9v7esz0878mxsdcy04.png,"one small white round polyp, located in center of the image
",cju2wve9v7esz0878mxsdcy04.png
cju6z600qwh4z081700qimgl9.png,"one small tan round polyp, located in bottom right of the image
",cju6z600qwh4z081700qimgl9.png
cju30mm25a53s0799qa5wiqe8.png,"one small pink circle polyp, located in bottom of the image
",cju30mm25a53s0799qa5wiqe8.png
cju8c5mxls96t0850wvkvsity.png,"one medium yellow round polyp, located in bottom right of the image
",cju8c5mxls96t0850wvkvsity.png
cju18gzrq18zw0878wbf4ftw6.png,"one small brown round polyp, located in right of the image
",cju18gzrq18zw0878wbf4ftw6.png
cju5eftctcdbj08712gdp989f.png,"one medium yellow round polyp, located in right of the image
",cju5eftctcdbj08712gdp989f.png
cju2saez63gxl08559ucjq3kt.png,"one medium orange round polyp, located in top of the image
",cju2saez63gxl08559ucjq3kt.png
cju7ejm2l2ncl0801wq6y84nw.png,"one small brown round polyp, located in left of the image
",cju7ejm2l2ncl0801wq6y84nw.png
cju5o1vu9gz8a0818eyy92bns.png,"one medium yellow round polyp, located in left of the image
",cju5o1vu9gz8a0818eyy92bns.png
